dc,group,srcfile
13.7599999999875,2,13
45.7599999999584,2,13
10.2899999999906,2,13
54.7899999999502,2,14
39.9199999999637,2,15
190.339999999827,2,15
11.3099999999897,2,15
11.7499999999893,2,15
10.2999999999906,2,15
10.94999999999,2,15
35.229999999968,2,16
82.0299999999254,2,16
19.8899999999819,2,16
129.509999999882,2,16
11.8299999999892,2,16
12.0099999999891,2,16
11.2599999999898,2,16
31.0199999999718,2,16
37.369999999966,2,16
30.829999999972,2,17
36.1599999999671,2,17
244.749999999777,2,17
11.8499999999892,2,17
11.8399999999893,2,17
30.5699999999722,2,18
328.609999999701,2,18
11.3399999999897,2,18
12.3499999999888,2,18
10.3399999999906,2,18
11.9399999999891,2,18
45.6999999999584,2,19
119.149999999892,2,19
11.5099999999895,2,19
72.0099999999345,2,19
11.6899999999894,2,19
11.3999999999896,2,19
17.3899999999842,2,19
44.1299999999599,2,19
16.8699999999847,2,19
45.6999999999584,2,20
119.149999999892,2,20
11.5099999999895,2,20
72.0099999999345,2,20
11.6899999999894,2,20
11.3999999999896,2,20
17.3899999999842,2,20
44.1299999999599,2,20
17.6899999999839,2,20
60.3999999999451,3,22
51.7699999999529,3,23
63.8599999999419,3,24
259.329999999764,3,24
11.8199999999893,3,24
10.6499999999903,3,24
11.2799999999897,3,24
10.7699999999902,3,24
11.1299999999899,3,24
52.0199999999527,3,25
199.489999999819,3,25
11.4699999999896,3,25
10.7699999999902,3,25
10.94999999999,3,25
11.8099999999893,3,25
27.7499999999748,3,25
42.0999999999617,3,25
26.6699999999757,3,26
33.5099999999695,3,27
160.489999999854,3,27
10.7499999999902,3,27
11.2499999999898,3,27
10.7599999999902,3,27
16.479999999985,3,27
44.7299999999593,3,27
27.2599999999752,3,28
38.0999999999654,3,28
52.6299999999521,3,28
67.1299999999389,3,28
156.559999999858,3,28
11.3599999999897,3,28
11.5899999999895,3,28
11.02999999999,3,28
24.0199999999782,3,29
16.519999999985,3,29
224.119999999796,3,29
10.5099999999904,3,29
11.5599999999895,3,29
11.2899999999897,3,29
11.8799999999892,3,29
20.3899999999815,3,29
42.2799999999615,3,29
33.5099999999695,3,30
160.489999999854,3,30
10.7499999999902,3,30
11.2499999999898,3,30
10.7599999999902,3,30
16.479999999985,3,30
45.3399999999588,3,30
47.8399999999565,5,31
29.729999999973,5,31
54.6199999999503,5,31
54.0399999999509,5,31
35.209999999968,5,31
88.1099999999199,5,31
10.8299999999902,5,31
11.7299999999893,5,31
11.7299999999893,5,31
36.7899999999665,5,31
53.829999999951,4,32
40.5999999999631,4,32
34.4299999999687,4,32
28.3799999999742,4,32
107.859999999902,4,32
11.3299999999897,4,32
11.1699999999898,4,32
13.3599999999878,4,32
46.3899999999579,4,32
16.2699999999852,4,32
30.1099999999726,4,33
122.579999999889,4,33
19.1299999999826,4,33
12.069999999989,4,33
22.7999999999793,4,33
44.3699999999596,4,33
26.9899999999755,4,33
44.03999999996,4,33
29.8299999999729,4,34
52.2699999999525,4,34
84.5099999999231,4,34
60.8299999999447,4,34
20.3599999999815,4,34
95.0099999999136,4,34
12.8799999999883,4,34
12.7199999999884,4,34
11.1899999999898,4,34
28.2599999999743,4,34
25.8199999999765,4,35
51.0299999999536,4,35
55.5999999999494,4,35
105.349999999904,4,35
11.8599999999892,4,35
11.6499999999894,4,35
11.2399999999898,4,35
46.1199999999581,4,35
36.2099999999671,4,35
32.2599999999707,4,35
28.559999999974,4,36
106.639999999903,4,36
19.799999999982,4,36
39.6399999999639,4,36
55.3599999999497,4,36
40.2099999999634,4,36
37.2299999999662,4,36
39.9299999999637,4,36
44.1899999999598,4,37
88.6299999999194,4,37
37.6899999999657,4,37
61.4999999999441,4,37
37.2799999999661,4,37
95.1299999999135,4,37
18.699999999983,4,37
14.0199999999872,4,37
84.4999999999232,4,38
43.4799999999605,4,38
39.4299999999641,4,38
58.8799999999464,4,38
53.3799999999515,4,38
63.6399999999422,4,38
11.7199999999893,4,38
32.7499999999702,4,38
36.5999999999667,6,39
29.2499999999734,6,39
60.8699999999446,6,39
81.8799999999255,6,39
18.709999999983,6,39
55.0399999999499,6,39
20.3799999999815,6,39
60.9399999999446,6,39
21.6499999999803,6,39
67.9599999999382,7,41
97.7799999999111,7,41
12.7799999999884,7,41
11.5599999999895,7,41
16.0399999999854,7,41
41.779999999962,7,41
28.2099999999743,7,41
144.089999999869,6,42
44.6399999999594,6,42
11.1899999999898,6,42
11.9899999999891,6,42
10.7499999999902,6,42
29.3399999999733,6,42
42.5399999999613,6,42
29.4199999999733,6,42
37.5499999999658,6,43
78.3199999999288,6,43
83.9299999999237,6,43
49.8099999999547,6,43
62.3899999999433,6,43
22.9499999999792,6,43
53.6199999999512,6,43
77.3099999999297,6,44
56.4499999999487,6,44
39.2499999999643,6,44
115.439999999895,6,44
12.0099999999891,6,44
11.7299999999893,6,44
10.7799999999902,6,44
10.6799999999903,6,44
42.8099999999611,6,44
95.4099999999133,6,45
70.5699999999358,6,45
38.7199999999648,6,45
31.919999999971,6,45
101.549999999908,6,45
12.1999999999889,6,45
27.1899999999753,6,45
12.049999999989,6,45
32.1699999999707,6,46
111.679999999898,6,46
22.6599999999794,6,46
41.8799999999619,6,46
11.8799999999892,6,46
16.469999999985,6,46
40.5399999999631,6,46
35.9199999999673,6,46
61.7599999999439,6,47
46.9299999999573,6,47
40.6199999999631,6,47
72.9599999999336,6,47
31.6399999999712,6,47
77.7399999999294,6,47
11.9399999999891,6,47
34.9999999999682,6,47
11.5099999999895,6,47
32.1699999999707,6,48
111.679999999898,6,48
22.6599999999794,6,48
41.8799999999619,6,48
11.8799999999892,6,48
16.469999999985,6,48
40.5399999999631,6,48
31.5199999999713,6,48
39.8299999999638,8,49
67.3699999999388,8,49
57.8499999999474,8,49
74.1599999999326,8,49
11.4699999999896,8,49
18.8199999999829,8,49
19.7199999999821,8,49
26.469999999976,8,49
42.3199999999615,8,49
44.3899999999596,9,51
33.6799999999694,9,51
103.739999999906,9,51
11.7499999999893,9,51
12.0099999999891,9,51
35.4699999999677,9,51
49.9099999999546,8,52
53.5099999999513,8,52
31.5299999999713,8,52
29.8399999999729,8,52
25.5499999999768,8,52
35.8899999999674,8,52
31.0399999999718,8,52
24.6099999999776,8,52
85.6799999999221,8,52
49.9099999999546,8,54
53.5099999999513,8,54
31.5299999999713,8,54
29.8399999999729,8,54
25.5499999999768,8,54
35.8899999999674,8,54
31.0399999999718,8,54
24.6099999999776,8,54
85.6799999999221,8,54
20.5899999999813,10,55
32.98999999997,10,55
41.3999999999623,10,55
26.7099999999757,10,55
50.539999999954,10,55
32.2399999999707,10,55
34.7999999999683,10,55
35.0499999999681,10,55
38.0399999999655,10,55
37.7599999999657,10,55
35.8799999999674,10,55
30.6599999999721,9,56
41.5499999999622,9,56
29.7799999999729,9,56
40.0499999999636,9,56
50.2599999999543,9,56
59.389999999946,9,56
37.1799999999662,9,56
42.4899999999614,9,56
35.2499999999679,9,56
31.3599999999715,9,56
20.2199999999816,9,57
42.5699999999613,9,57
70.0799999999363,9,57
21.1699999999807,9,57
21.0099999999809,9,57
44.2999999999597,9,57
