Ld,group,srcfile
6.71502353176662,1,10
6.20520390416997,1,10
5.17156078719816,1,10
4.08714564563615,1,10
5.60050444501627,1,10
5.43633074070805,1,10
4.55155813789769,1,10
4.16993217673052,1,10
3.94130522966253,3,12
4.11359745943397,3,12
75.5072437794605,3,12
6.4605124015416,2,13
39.7233718153512,2,13
42.146588047471,2,13
24.5203968836724,2,13
14.4075638632314,2,13
8.44333588425363,2,13
5.09519586515708,2,13
4.63366080946119,2,13
2.63809637535761,2,13
4.42400863947178,2,14
5.81491656642106,2,14
5.78348812590697,2,15
5.81610436807344,2,15
47.8653677172449,2,15
27.8619686155288,2,15
16.4651835969423,2,15
9.56084215606326,2,15
5.59975116212311,2,15
4.27055070366066,2,16
3.99822976252856,2,16
9.08650539279362,2,16
6.47078317456359,2,16
26.4129084314423,2,16
15.8705393768923,2,16
9.54012109769308,2,16
5.65364891497894,2,16
4.47049892021354,2,16
3.74677329360705,2,16
4.82681912087667,2,17
4.21167273499033,2,17
4.08078285442125,2,17
68.3128144771881,2,17
39.3106263538402,2,17
22.8490169570833,2,17
5.73589243316574,2,18
5.01601476644111,2,18
131.869892990667,2,18
73.4223260806567,2,18
41.7400315566261,2,18
23.3800475899229,2,18
13.4172502263432,2,18
6.88973287507321,2,19
7.64153221949927,2,19
25.7662185438165,2,19
15.3917089603561,2,19
21.3507062007071,2,19
12.6779624220128,2,19
7.47807253019291,2,19
4.77284048672602,2,19
4.371087011388,2,19
2.8273062804305,2,19
6.88973287507321,2,20
7.64153221949927,2,20
25.7662185438165,2,20
15.3917089603561,2,20
21.3507062007071,2,20
12.6779624220128,2,20
7.47807253019291,2,20
4.77284048672602,2,20
4.371087011388,2,20
2.86310212696399,2,20
3.84781668595715,4,21
4.63737541840838,3,22
6.95419535231924,3,22
3.92725235496791,3,23
5.27851475264238,3,23
4.65191107052557,3,24
7.37482750046357,3,24
71.1797003904739,3,24
41.516989920812,3,24
24.3412654796297,3,24
14.5428206114106,3,24
8.62600780699382,3,24
5.13193968218319,3,24
3.71184952308275,3,25
4.87788625145202,3,25
42.9612964514101,3,25
25.5461526749162,3,25
15.1604693487921,3,25
9.03298991530413,3,25
5.44272612857503,3,25
4.14034932532049,3,25
3.83236064789632,3,25
5.73352515079194,3,26
4.64906151477635,3,26
6.22271012366739,3,27
5.72393458930815,3,27
32.4730233080745,3,27
19.2571191062084,3,27
11.5765609863639,3,27
6.8946505659478,3,27
4.45808598475923,3,27
4.19280713478227,3,27
4.56711646684285,3,28
3.82218518708974,3,28
3.95904107403641,3,28
5.43129570910276,3,28
9.2367179575724,3,28
39.4790567844785,3,28
23.4891564235894,3,28
14.136619129484,3,28
8.4257782837995,3,28
9.28389455145184,3,29
7.07335607056828,3,29
4.73949217323705,3,29
50.1897548761973,3,29
29.2601464043983,3,29
17.5396428672328,3,29
10.4962927576703,3,29
6.32036342129726,3,29
4.2923184510526,3,29
3.82854387146906,3,29
6.22271012366739,3,30
5.72393458930815,3,30
32.4730233080745,3,30
19.2571191062084,3,30
11.5765609863639,3,30
6.8946505659478,3,30
4.45808598475923,3,30
4.22721710685029,3,30
6.73784648527231,5,31
7.84510067438745,5,31
6.61605142206225,5,31
8.629563030202,5,31
10.8354801456786,5,31
9.79703425807859,5,31
19.652092041148,5,31
11.7694415333478,5,31
7.15137570019732,5,31
4.33259712996369,5,31
3.95410822057011,5,31
5.96853496947006,4,32
7.74468407639888,4,32
7.92414248744996,4,32
7.24835162600068,4,32
5.9765147829901,4,32
18.2450305444084,4,32
11.0651665300227,4,32
6.68557857129121,4,32
4.15569873865691,4,32
4.14698970438958,4,32
2.62080381337193,4,32
6.09767604658454,4,33
5.22226415615297,4,33
19.8669651909411,4,33
13.5782363101554,4,33
8.25854093608516,4,33
5.86937217870837,4,33
5.75467497662785,4,33
4.31537335107055,4,33
4.03359746868521,4,33
4.75036187992677,4,34
4.07185790999605,4,34
5.31316607247539,4,34
11.8165852336725,4,34
15.7355708198246,4,34
10.9482932502531,4,34
22.6617059188987,4,34
13.9647652328383,4,34
8.59795438641813,4,34
5.14055917563791,4,34
3.94750230542066,4,34
5.3983335846561,4,35
4.31004681315865,4,35
5.4527391166598,4,35
7.49487623960421,4,35
20.517167506557,4,35
12.5304598025168,4,35
7.63890829937786,4,35
4.60759490281856,4,35
4.8595561756896,4,35
4.25799759236527,4,35
3.46901456604866,4,35
4.8330766878497,4,36
4.04401415880729,4,36
12.9937895906344,4,36
9.09608195735583,4,36
8.98059864353532,4,36
11.4024397230842,4,36
11.0831208886523,4,36
10.1647265565811,4,36
9.72529083701134,4,36
5.62489101369558,4,37
6.24443043443391,4,37
14.0244499979078,4,37
12.850677926837,4,37
16.5114722843468,4,37
14.6361084915346,4,37
27.2408245563276,4,37
18.1197422005224,4,37
11.2662929174135,4,37
4.02193190521173,4,38
9.56601094993779,4,38
